operacion,tipo,long,lat,m2total,direccion,calle,altura,cambio,preciotex,preciousd,precioars,preciousdm,precioarsm,barrio,comuna,codigo_postal,codigo_postal_argentino
VTA,TERRENO,-58.451807200000005,-34.6057396,156.0,Nicolas Repetto 1500,Nicolas Repetto ,1500,36.4,U$S 350000,350000.0,12740000.0,2243.5897440000003,81666.666667,VILLA CRESPO,15.0,1407,C1407AEF
VTA,TERRENO,-58.4836495,-34.629356,220.0,Chivilcoy 400,Chivilcoy ,400,36.4,U$S 500000,500000.0,18200000.0,2272.727273,82727.272727,FLORESTA,10.0,1407,C1407HUH
VTA,TERRENO,-58.473895999999996,-34.653515000000006,389.0,Av. Eva Peron 4371,Av. Eva Peron ,4371,36.4,U$S 890000,890000.0,32396000.0,2287.917738,83280.20565599999,PARQUE AVELLANEDA,9.0,1414,C1414DQJ
VTA,TERRENO,-58.421548,-34.5899092,369.0,Araoz 1800,Araoz ,1800,36.4,U$S 850000,850000.0,30940000.0,2303.523035,83848.238482,PALERMO,14.0,1219,C1219AAJ
VTA,TERRENO,-58.399573100000005,-34.622058,180.0,MATHEU 1100,MATHEU ,1100,36.4,U$S 420000,420000.0,15288000.0,2333.333333,84933.333333,SAN CRISTOBAL,3.0,1439,C1439BDX
VTA,TERRENO,-58.4840588,-34.6671201,328.0,ZUVIRIA 5500,ZUVIRIA ,5500,36.4,U$S 180000,180000.0,6552000.0,548.780488,19975.609756,VILLA LUGANO,8.0,1425,C1425FQL
VTA,TERRENO,-58.422972407189995,-34.576127411335,165.0,Godoy Cruz 2800,Godoy Cruz ,2800,36.4,U$S 950000,950000.0,34580000.0,5757.575758,209575.757576,PALERMO,14.0,,
VTA,TERRENO,-58.474105,-34.5825814,155.0,Arismendi 2400,Arismendi ,2400,36.4,U$S 370000,370000.0,13468000.0,2387.0967739999996,86890.322581,PARQUE CHAS,15.0,1431,C1431EXU
VTA,TERRENO,-58.490275600000004,-34.583560399999996,211.0,Av De Los Constituyentes 4300,Av De Los Constituyentes ,4300,36.4,U$S 460000,460000.0,16744000.0,2180.094787,79355.450237,VILLA PUEYRREDON,12.0,1207,C1207ABP
VTA,TERRENO,-58.410374899999994,-34.6116037,599.0,Hipolito Yrigoyen 3100,Hipolito Yrigoyen ,3100,36.4,U$S 1450000,1450000.0,52780000.0,2420.701169,88113.522538,BALVANERA,3.0,1427,C1427DOR
VTA,TERRENO,-58.482727274126994,-34.587485118132,148.0,De los Incas 5300,De los Incas ,5300,36.4,U$S 359000,359000.0,13067600.0,2425.6756760000003,88294.594595,PARQUE CHAS,15.0,1225,C1225AAN
VTA,TERRENO,-58.3940537554,-34.6181476377,371.0,Independencia 1900,Independencia ,1900,36.4,U$S 900000,900000.0,32760000.0,2425.876011,88301.88679199999,BALVANERA,3.0,1225,C1225AAB
VTA,TERRENO,-58.3940537554,-34.6181476377,432.0,Independencia 1961/1965,Independencia ,1961,36.4,U$S 1050000,1050000.0,38220000.0,2430.555556,88472.222222,BALVANERA,3.0,1155,C1155AAA
VTA,TERRENO,-58.4625595,-34.5443065,212.0,11 de Septiembre 3700, de Septiembre ,11,36.4,U$S 520000,520000.0,18928000.0,2452.8301890000002,89283.018868,NUâ”œÃ¦EZ,13.0,,
VTA,TERRENO,-58.441408900000006,-34.574546600000005,406.0,Benjamin Matienzo,Benjamin Matienzo,,36.4,U$S 1000000,1000000.0,36400000.0,2463.054187,89655.172414,PALERMO,14.0,,
VTA,TERRENO,-58.4263034,-34.6242709,1174.0,MUâ”œÃ¢Ã”Ã‡Ã¿IZ 800,MU,800,36.4,U$S 2900000,2900000.0,105560000.0,2470.187394,89914.821124,BOEDO,5.0,1407,C1407EDJ
VTA,TERRENO,-58.4812313,-34.631255100000004,910.0,BACACAY 3800,BACACAY ,3800,36.4,U$S 2250000,2250000.0,81900000.0,2472.527473,90000.0,FLORESTA,10.0,1216,C1216ABB
VTA,TERRENO,-58.42161110000001,-34.619265999999996,303.0,Yapeyu 600,Yapeyu ,600,36.4,U$S 750000,750000.0,27300000.0,2475.247525,90099.009901,ALMAGRO,5.0,1427,C1427BRJ
VTA,TERRENO,-58.452347960321,-34.586073711911,119.0,GUEVARA 500,GUEVARA ,500,36.4,U$S 295000,295000.0,10738000.0,2478.9915969999997,90235.29411799999,CHACARITA,15.0,1158,C1158ACH
